Dataset,Defense,Attack,Eps,AUC,Path
breastcancer,DM-κ,fgsm,0.300,0.5797022412467692,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_breastcancer_fgsm_0.300.csv
breastcancer,DM-κ,fgsm,0.600,0.748128738596844,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_breastcancer_fgsm_0.600.csv
breastcancer,DM-κ,apgd,0.300,0.5982726470008493,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_breastcancer_apgd_0.300.csv
breastcancer,DM-κ,apgd,0.600,0.7452016196241186,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_breastcancer_apgd_0.600.csv
breastcancer,DM-κ,cw2,0.000,0.5658324997073588,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_breastcancer_cw2_0.000.csv
breastcancer,DM-κ,cw2,10.000,0.6324563946090134,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_kappa_breastcancer_cw2_10.000.csv
breastcancer,BB,fgsm,0.300,0.4764639864471858,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_breastcancer_fgsm_0.300.csv
breastcancer,BB,fgsm,0.600,0.5176737164300662,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_breastcancer_fgsm_0.600.csv
breastcancer,BB,apgd,0.300,0.5068788071594421,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_breastcancer_apgd_0.300.csv
breastcancer,BB,apgd,0.600,0.5623472711429126,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_breastcancer_apgd_0.600.csv
breastcancer,BB,cw2,0.000,0.464891547480267,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_breastcancer_cw2_0.000.csv
breastcancer,BB,cw2,10.000,0.48411089921207495,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_breastcancer_cw2_10.000.csv
breastcancer,Prob.,fgsm,0.300,0.7045037475848164,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_breastcancer_fgsm_0.300.csv
breastcancer,Prob.,fgsm,0.600,0.6020540706893531,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_breastcancer_fgsm_0.600.csv
breastcancer,Prob.,apgd,0.300,0.5365536789319191,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_breastcancer_apgd_0.300.csv
breastcancer,Prob.,apgd,0.600,0.4662608899936158,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_breastcancer_apgd_0.600.csv
breastcancer,Prob.,cw2,0.000,0.9899654916086016,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_breastcancer_cw2_0.000.csv
breastcancer,Prob.,cw2,10.000,0.8132930073262862,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_breastcancer_cw2_10.000.csv
htru2,DM-δ,fgsm,0.300,0.9340010458072902,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_htru2_fgsm_0.300.csv
htru2,DM-δ,fgsm,0.600,0.9886748835760836,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_htru2_fgsm_0.600.csv
htru2,DM-δ,apgd,0.300,0.9221097633483709,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_htru2_apgd_0.300.csv
htru2,DM-δ,apgd,0.600,0.9864075853818156,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_htru2_apgd_0.600.csv
